ID,VisaType,VisaEntry,Consulate,Major,Status,CheckDate,CompleteDate,WaitingDays,Comments
killuaustc,H1,New,ShangHai,Biology,Clear,2008-12-10,2009-03-19,99,
njazma,H1,,ChengDu,chemistry,Clear,2008-12-10,2009-03-19,99,
whisky,F1,Renewal,BeiJing,EE,Clear,2008-12-10,2009-03-18,98,
checkee,H1,Renewal,ShangHai,Biology,Clear,2008-12-10,2009-03-10,90,
jl213,H1,Renewal,ChengDu,Biochemistry,Clear,2008-12-10,2009-03-21,101,
deepseablueblue,H1,Renewal,ShangHai,chemistry,Clear,2008-12-10,2009-03-24,104,
cdenen,H1,Renewal,ChengDu,physics,Clear,2008-12-10,2009-03-23,103,
mememe,J1,Renewal,ShangHai,Physics,Clear,2008-12-10,2009-03-20,100,
smz,H1,New,Tijuana ,CSE / Statistics,Clear,2008-12-11,2009-02-23,74,
littlegreen,J1,New,BeiJing,Toxicology,Clear,2008-12-11,2009-03-20,99,
wcadef,J1,Renewal,BeiJing,Chemical Engineering,Clear,2008-12-11,2009-03-20,99,
suixzh,H1,,BeiJing,biology,Clear,2008-12-11,2009-03-19,98,
peachnestea,H1,Renewal,ShangHai,Bioinformatics,Clear,2008-12-11,2009-03-23,102,
philippic,F1,Renewal,ShangHai,Industrial Engineering,Clear,2008-12-11,2009-03-19,98,
super_wt,J1,,BeiJing,bioinformatics,Clear,2008-12-11,2009-03-20,99,
unight,F1,,ShangHai,BME,Clear,2008-12-11,2009-03-19,98,
liting,J1,Renewal,ShangHai,ME,Clear,2008-12-11,2009-03-20,99,
grace,J1,,BeiJing,Mechanical Engineering,Clear,2008-12-11,2009-03-18,97,
hzg,H1,Renewal,BeiJing,biology,Clear,2008-12-11,2009-03-18,97,
r30962,H1,New,BeiJing,Material Science,Clear,2008-12-11,2009-03-17,96,
hensbcb,F1,Renewal,ShangHai,biochemistry,Clear,2008-12-11,2009-03-23,102,
baoz,H1,New,Others,Surface Physics,Clear,2008-12-11,2009-04-14,124,"nd LP interviewed together. VO asked about my PHD thesis and postdoc going to do. I was silly then, told her the truth and in scientific lauguage. She also asked what my wife was going to do, LP said did not know yet, of cause a silly answer. Then VO typed something on computer and gave us the note saying that need CV and just wait."
lvying,F1,Renewal,BeiJing,Biophysics,Clear,2008-12-12,2009-03-18,96,
mustdoit,J1,New,BeiJing,Chemistry,Clear,2008-12-12,2009-03-18,96,
justhere,H1,,BeiJing,EE,Clear,2008-12-12,2009-03-19,97,
mg,H1,,BeiJing,Chemical Engineerng,Clear,2008-12-12,2009-03-18,96,
hsg221,H1,Renewal,BeiJing,physics,Clear,2008-12-12,2009-03-20,98,
visa,H1,,ShangHai,materials science,Clear,2008-12-15,2009-03-21,96,
zj2000cn,H1,New,ShangHai,Industrial Eng.,Clear,2008-12-15,2009-03-18,93,
disan,H1,,ShangHai,Material Science,Clear,2008-12-15,2009-03-23,98,
cise,F1,Renewal,ShangHai,EE,Clear,2008-12-15,2009-03-19,94,
eyou,F1,Renewal,ShangHai,MSE,Clear,2008-12-15,2009-03-23,98,
diangers,H1,Renewal,BeiJing,Chemistry,Clear,2008-12-15,2009-03-18,93,
lunazjy,H1,,BeiJing,chemistry,Clear,2008-12-15,2009-03-20,95,
Manuel,H1,New,BeiJing,Chemical Engineering,Clear,2008-12-15,2009-03-23,98,
lafemme,F1,Renewal,BeiJing,Physical Chemistry,Clear,2008-12-15,2009-03-25,100,
truehb,H1,New,GuangZhou,EE,Clear,2008-12-15,2009-03-20,95,
wanyua,F1,Renewal,ShangHai,Atmospheric Sciences,Clear,2008-12-15,2009-03-19,94,
magicfine,F1,Renewal,ShangHai,EE,Clear,2008-12-15,2009-03-20,95,
Willow-w,H1,,BeiJing,Neuroscience,Clear,2008-12-15,2009-03-18,93,
willowW,H1,Renewal,BeiJing,Materials Science,Clear,2008-12-15,2009-03-18,93,
zhudai,H1,,ShangHai,chemistry,Clear,2008-12-15,2009-03-19,94,
aaabbb,H1,,BeiJing,cs,Pending,2008-12-15,,3751,
xf,H1,,ShangHai,ME,Clear,2008-12-15,2009-03-20,95,
qqspm,H1,Renewal,BeiJing,Neurosience,Clear,2008-12-15,2009-03-27,102,
GaryH,H1,Renewal,ShangHai,chemistry,Clear,2008-12-15,2009-03-20,95,
YY,H1,Renewal,ShangHai,N/A,Clear,2008-12-15,2009-03-21,96,
helloteddy,H1,Renewal,BeiJing,chemistry,Clear,2008-12-15,2009-03-15,90,
flyadove,F1,Renewal,ShangHai,Biostatistics,Clear,2008-12-15,2009-03-19,94,
banana001,F1,Renewal,ShangHai,EE,Clear,2008-12-15,2009-03-20,95,
zenonlpc,F1,Renewal,ShangHai,EE,Clear,2008-12-15,2009-03-19,94,
xibull,H1,Renewal,ShangHai,NAME,Clear,2008-12-15,2009-03-20,95,
gsut81,H1,New,BeiJing,EE,Clear,2008-12-16,2009-03-23,97,
killbill123,F1,Renewal,Others,optics,Clear,2008-12-16,2009-05-07,142,
incredibel,J1,,ShangHai,materials science,Pending,2008-12-16,,3750,
shenyang0809,H1,Renewal,ShenYang,EE,Clear,2008-12-16,2009-03-27,101,
wss6028,H1,New,BeiJing,polymer engineering,Clear,2008-12-16,2009-03-23,97,
Dec2008,H1,New,BeiJing,EE,Clear,2008-12-17,2009-03-20,93,
luuring,H1,Renewal,ShangHai,CS,Clear,2008-12-17,2009-03-20,93,
likexx,H1,Renewal,ChengDu,CS,Clear,2008-12-17,2009-03-20,93,
lzhang,H1,,ShangHai,Aerospace Engineerin,Clear,2008-12-17,2009-03-20,93,
nauticalboy,H1,New,Others,Biochemistry,Clear,2008-12-17,2009-03-31,104,
BLUEWIND,H1,,ShangHai,MECHANICAL ENGINEERI,Clear,2008-12-17,2009-03-24,97,
HFL,H1,Renewal,ChengDu,Biology,Clear,2008-12-17,2009-03-19,92,
daiyatou,H1,,ShangHai,ae,Clear,2008-12-17,2009-03-23,96,
wyw,H1,New,Others,Biochemistry,Clear,2008-12-17,2009-04-11,115,
M,H1,,ShangHai,Chem. Eng.,Clear,2008-12-17,2009-03-20,93,
zb9,H1,,ShangHai,materials science,Pending,2008-12-17,,3749,
abcd,B1,New,BeiJing,Mechanical Engineering,Clear,2008-12-17,2009-03-20,93,
llyzs,B1,New,GuangZhou,CS,Clear,2008-12-17,2009-03-24,97,
amanos,H1,New,Others,EE,Clear,2008-12-17,2009-04-24,128,
wangren,H1,Renewal,ShangHai,Bioinformatics,Clear,2008-12-18,2009-03-19,91,
xhzhang1978,F1,Renewal,ShangHai,Chemistry,Clear,2008-12-18,2009-03-19,91,
owl,H1,Renewal,BeiJing,Materials Science,Clear,2008-12-18,2009-03-19,91,
xidong,H1,New,ShangHai,MSE,Clear,2008-12-18,2009-03-23,95,
LY,H4,New,ShangHai,N/A,Clear,2008-12-18,2009-03-23,95,
Val,H1,,ShangHai,Materials,Clear,2008-12-19,2009-03-24,95,
nuclearspin,H1,Renewal,BeiJing,radiology,Clear,2008-12-19,2009-03-27,98,
bejing2009,H1,New,BeiJing,CS,Clear,2008-12-19,2009-03-27,98,
linxi107,H1,Renewal,GuangZhou,chem eng,Clear,2008-12-22,2009-03-27,95,
doghuang,H1,Renewal,ShangHai,chemistry,Clear,2008-12-22,2009-03-31,99,
iciclemelt,F1,Renewal,ShangHai,chemistry,Clear,2008-12-22,2009-03-31,99,
umpe,H1,,Others,toxicology,Clear,2008-12-22,2009-03-20,88,
aku,H1,Renewal,BeiJing,CS,Clear,2008-12-22,2009-03-22,90,
Jack441018,H1,New,BeiJing,EE,Clear,2008-12-22,2009-03-27,95,
ppperson,H1,New,ShangHai,EE,Clear,2008-12-22,2009-04-01,100,
yufei123456,F1,Renewal,ChengDu,CS,Clear,2008-12-22,2009-03-25,93,
balala,H1,New,ShangHai,physics,Clear,2008-12-22,2009-03-31,99,
1223bjh1b,H1,Renewal,BeiJing,bme,Clear,2008-12-23,2009-03-23,90,
xuzp,H1,Renewal,BeiJing,Civil Engineering,Clear,2008-12-23,2009-03-20,87,
jiong,H1,New,ShangHai,EE,Clear,2008-12-23,2009-03-20,87,
ykqryk,H1,New,ShangHai,Biology,Clear,2008-12-23,2009-03-20,87,
cc,B1,New,GuangZhou,chemistry,Clear,2008-12-23,2009-04-03,101,
sunnycat,H4,New,ShangHai,Environmental Sciences,Clear,2008-12-23,2009-03-23,90,
sunnycat,H1,New,ShangHai,EE,Clear,2008-12-23,2009-03-23,90,
guoan,H1,Renewal,BeiJing,Biomedical Engineering,Clear,2008-12-23,2009-03-20,87,
march,B1,New,Others,N/A,Clear,2008-12-23,2009-03-30,97,
jessyqi,H1,New,Others,EE,Clear,2008-12-23,2009-03-19,86,
China2008,H1,Renewal,BeiJing,BME,Clear,2008-12-23,2009-03-27,94,
goodlife,H1,Renewal,ShangHai,EE,Clear,2008-12-23,2009-03-24,91,
ykqryk,H4,New,ShangHai,N/A,Clear,2008-12-23,2009-03-23,90,
boston,H1,New,ShangHai,EE,Clear,2008-12-23,2009-03-23,90,
hkld,H1,New,BeiJing,CS,Clear,2008-12-24,2009-03-20,86,
Aquafina,H1,,ShangHai,Chemistry,Clear,2008-12-24,2009-03-23,89,
snoopylh,H1,,BeiJing,ME,Clear,2008-12-29,2009-03-27,88,
chenxuyu,H1,Renewal,ShenYang,Biotechnology,Clear,2008-12-29,2009-04-08,100,
irenezqff,H1,Renewal,GuangZhou,Biochem,Clear,2008-12-29,2009-03-27,88,
JQ,H1,Renewal,ShangHai,Chem,Clear,2008-12-29,2009-03-27,88,
Jimmy,H1,Renewal,GuangZhou,EE,Clear,2008-12-29,2009-04-08,100,
mankei,H1,Renewal,Others,EE,Clear,2008-12-29,2009-03-27,88,
frogjovi,H1,New,ShangHai,Neurobiology,Clear,2008-12-29,2009-03-27,88,
bluecold,H1,New,ShangHai,Information Systems,Clear,2008-12-29,2009-03-27,88,
bg3721,H1,Renewal,BeiJing,CS,Clear,2008-12-29,2009-03-29,90,
wu,H1,,ShangHai,CS,Clear,2008-12-30,2009-03-27,87,
deng7,F1,,ChengDu,Biology,Clear,2008-12-30,2009-01-29,30,
kaizersoze,H1,,Kolkata,Comp Engg,Pending,2008-12-30,,3736,
xqsimple,H4,,Others,chemistry,Clear,2008-12-30,2009-03-27,87,
zealing2009,H1,Renewal,ShangHai,Electrical Engineering,Clear,2008-12-30,2009-03-27,87,
ordin,H1,Renewal,BeiJing,EE,Clear,2008-12-30,2009-03-27,87,
minsmarf,H1,New,BeiJing,Information Technology,Clear,2008-12-30,2009-03-27,87,
ling,H1,Renewal,BeiJing,Materials Sciences,Clear,2008-12-30,2009-03-27,87,
stochaos,H1,Renewal,BeiJing,Physics,Clear,2008-12-30,2009-03-27,87,
julin,H1,Renewal,ChengDu,Biostatistics,Clear,2008-12-31,2009-04-08,98,
lpdeng,H1,,ChengDu,Materials Science,Clear,2008-12-31,2009-04-07,97,"ʻʢٻpending
7ݾ֪ͨǩ֤"
rainbonnie,H1,New,ChengDu,Industrial Engineering,Clear,2008-12-31,2009-04-07,97,
libertango,H1,Renewal,ChengDu,EE,Clear,2008-12-31,2009-04-07,97,
chengdu,H1,New,ChengDu,EE,Clear,2008-12-31,2009-04-07,97,
King.east,H4,New,ChengDu,communication engineering,Clear,2008-12-31,2009-04-08,98,
Barry,H1,New,ChengDu,Biochemistry,Clear,2008-12-31,2009-04-07,97,
mmega,H1,Renewal,ShangHai,Biochemistry,Clear,2009-01-05,2009-03-31,85,
100,H1,Renewal,ShenYang,Chemical Engineering,Clear,2009-01-05,2009-04-06,91,
ford99,H1,Renewal,ShangHai,Mathmatics,Clear,2009-01-05,2009-04-01,86,
thinkme,H1,Renewal,BeiJing,Aero,Clear,2009-01-05,2009-05-20,135,
aaa,H1,Renewal,BeiJing,physics,Clear,2009-01-05,2009-04-02,87,
Chao,H1,Renewal,GuangZhou,medicine,Clear,2009-01-05,2009-04-15,100,
71,H1,Renewal,Toronto ,EE,Clear,2009-01-05,2009-04-14,99,nter twice
komunling,H1,New,ShangHai,Bioinformatics,Clear,2009-01-06,2009-04-07,91,
fjr_2009,F1,New,ShangHai,EE,Clear,2009-01-06,2009-02-28,53,
Bluewater,H1,,ShangHai,CS,Clear,2009-01-07,2009-04-10,93,
kevin,H1,Renewal,ShenYang,Chem,Clear,2009-01-07,2009-04-09,92,
zhangge,H1,Renewal,ChengDu,Statistical Genetics,Clear,2009-01-07,2009-04-08,91,
expiate,H1,Renewal,ChengDu,Information Science,Clear,2009-01-07,2009-04-07,90,"ared on 4-2-2009, visa issued on 4-7-2009"
lq958,H1,New,BeiJing,medical science,Clear,2009-01-07,2009-04-10,93,
unluckyinchengd,H1,Renewal,ChengDu,ECE,Clear,2009-01-07,2009-04-02,85,
flyingmonkey,H4,Renewal,ChengDu,MBA,Clear,2009-01-07,2009-04-08,91,
ywhk,H1,Renewal,ShenYang,biology,Clear,2009-01-07,2009-04-20,103,
wjzr76,H1,Renewal,Others,EE,Clear,2009-01-08,2009-04-09,91,
SF,H1,Renewal,Others,Chem,Clear,2009-01-08,2009-04-08,90,
ccruz,H1,Renewal,BeiJing,EE,Clear,2009-01-09,2009-04-09,90,
ppqq,H1,New,BeiJing,EE,Clear,2009-01-10,2009-04-08,88,
usdgood,B2,Renewal,ChengDu,chemistry,Clear,2009-01-12,2009-04-10,88,
ray,L1,New,GuangZhou,N/A,Clear,2009-01-12,2009-04-08,86,
wuhanJan,H1,New,GuangZhou,cancer biology,Clear,2009-01-12,2009-04-15,93,
berry7e7,L1,New,ShangHai,EE,Clear,2009-01-12,2009-04-09,87,
rc,L2,New,GuangZhou,N/A,Clear,2009-01-12,2009-04-08,86,
noid,H1,,ChengDu,CS,Clear,2009-01-13,2009-04-08,85,
viviencat,H4,New,Others,N/A,Clear,2009-01-13,2009-04-07,84,
paopao,H1,Renewal,BeiJing,EE,Clear,2009-01-13,2009-04-23,100,
ykcheiccas,H1,Renewal,BeiJing,Chemistry,Clear,2009-01-13,2009-04-08,85,
changchunfeng,H1,Renewal,BeiJing,computer science,Clear,2009-01-13,2009-04-14,91,
caidoz,H1,Renewal,Others,CS,Clear,2009-01-13,2009-04-28,105,
familywang,H1,New,Others,radiation oncology,Clear,2009-01-13,2009-04-08,85,
familywang2and3,H4,New,Others,N/A,Clear,2009-01-13,2009-04-08,85,
ibm,J1,New,ShangHai,MECH,Clear,2009-01-13,2009-05-14,121,
haha,J2,New,ShenYang,N/A,Clear,2009-01-13,2010-03-16,427,
lhm,B1,,ShangHai,EE,Clear,2009-01-14,2009-04-14,90,
li777,H1,Renewal,BeiJing,N/A,Clear,2009-01-14,2009-03-14,59,
bobobo,F1,Renewal,BeiJing,chemistry,Clear,2009-01-15,2009-05-07,112,
leviski,H1,New,ChengDu,CS,Clear,2009-01-15,2009-04-16,91,
vincentlang1,F1,Renewal,Others,Organic Chemistry,Clear,2009-01-15,2009-06-04,140, bless us.
huhd,H1,Renewal,ShangHai,CS,Clear,2009-01-15,2009-05-20,125,
pp,H1,,Toronto ,bio,Clear,2009-01-15,2009-04-21,96,
robertg,H1,New,ShangHai,Biomedical Eng,Clear,2009-01-15,2009-04-15,90,
wieso,B1,New,Others,Biology,Clear,2009-01-15,2009-04-24,99,
xiamimayi,H1,Renewal,ShangHai,CS,Clear,2009-01-15,2009-04-16,91,
ppsi,H1,New,Others,Chemistry,Clear,2009-01-16,2009-04-14,88,
NW,H1,Renewal,ShenYang,BME,Clear,2009-01-16,2009-04-14,88,
yaya,B1,New,Others,EE,Clear,2009-01-16,2009-04-14,88,
12345,F1,Renewal,GuangZhou,Biology,Clear,2009-01-20,2009-03-11,50,
goldenbread,H1,New,ShangHai,materials Science,Clear,2009-01-20,2009-04-17,87,
beiludebaobao,B1,New,ShangHai,biological ,Pending,2009-01-20,,3715,
hardamethyst,H1,Renewal,ShenYang,Chemistry,Clear,2009-01-20,2009-04-24,94,
yhy,B2,New,Others,ChE,Clear,2009-01-20,2009-04-15,85,
qq,B1,New,Vancouver ,chemistry,Clear,2009-01-20,2009-04-23,93,
WoKao,H1,Renewal,ShenYang,MicroElectronics,Clear,2009-01-20,2009-04-14,84,
alex,B1,New,ShangHai,N/A,Clear,2009-01-20,2009-04-16,86,
quakemania,H1,New,ShangHai,ME,Clear,2009-01-20,2009-04-14,84,
MMCC,H1,Renewal,ShangHai,material,Clear,2009-01-20,2009-05-14,114,
vivienduww,L2,New,ChengDu,N/A,Clear,2009-01-21,2009-03-19,57,
seekdream,H1,New,ChengDu,EE,Clear,2009-01-21,2009-04-24,93,
bettyzy1201,H1,Renewal,ChengDu,EE,Clear,2009-01-21,2009-04-23,92,"ct="""" target=""_blank"" title=""VO seems very interested in the word "
thus,H1,Renewal,ShenYang,Biomedical Engineering,Clear,2009-01-21,2009-04-20,89,
xlmail,H1,Renewal,ChengDu,Chemistry,Clear,2009-01-21,2009-04-16,85,
botong,H1,Renewal,BeiJing,Chemistry,Clear,2009-01-22,2009-05-22,120,
blue,H1,Renewal,BeiJing,Proteomics,Clear,2009-01-22,2009-04-22,90,
eiche,F1,Renewal,GuangZhou,Physics,Clear,2009-01-22,2009-04-15,83,
Shanghai,H1,New,ShangHai,Biochemistry,Clear,2009-01-22,2009-04-17,85,
sling,J2,New,ChengDu,Clinical Medicine ,Clear,2009-01-22,2009-05-22,120,
JAN23,H1,Renewal,ShangHai,chemistry,Clear,2009-01-23,2009-04-20,87,
goodtiger,J1,Renewal,BeiJing,Chemistry,Clear,2009-01-23,2009-04-14,81,
milanyc,B2,New,Others,ECE,Clear,2009-01-23,2009-05-05,102,
wma,B1,New,Others,Physiology/Pharmacology,Clear,2009-01-23,2009-04-22,89,
hliang,B1,Renewal,Others,Chemistry,Clear,2009-01-26,2009-04-22,86,
lz_7991,J1,New,BeiJing,Optic Engineer,Clear,2009-01-29,2009-04-14,75,
zye,H1,Renewal,ShangHai,biomedical engineering,Clear,2009-01-29,2009-04-24,85,
ermite,B2,New,Others,CS,Clear,2009-01-29,2009-04-24,85,
jwsn,J2,New,ShangHai,"clinical medicine, bioche",Clear,2009-01-29,2009-05-06,97,
xiaogazhang,J1,New,ShangHai,CS,Clear,2009-01-30,2009-07-10,161,
DHA,H1,Renewal,ShangHai,ECE,Clear,2009-01-30,2009-04-24,84,
kk,J1,Renewal,BeiJing,MICROBIO,Clear,2009-01-30,2009-05-06,96,
basten,J1,New,ShenYang,optic engineering,Clear,2009-01-30,2009-04-13,73,
qap,F1,Renewal,ChengDu,BME,Clear,2009-02-02,2009-05-22,109,
shanghaigu,B2,New,ShangHai,N/A,Clear,2009-02-02,2009-04-23,80,
worry,F1,Renewal,ChengDu,Biomedical Sciences,Clear,2009-02-02,2009-05-22,109,icer said will give me the visa but has to go through check process first
iiv,F1,Renewal,Others,Chemistry,Clear,2009-02-03,2009-03-12,37,
yunzhongxue,J1,New,Others,Microbiology,Clear,2009-02-03,2009-05-22,108,
Xiaoming,J1,Renewal,ChengDu,Mechanical Egineering,Clear,2009-02-03,2009-05-22,108,
Gemini,J1,New,Others,N/A,Clear,2009-02-03,2009-05-22,108,ģDS2019ˣҪµıܰ
buaa,B2,New,BeiJing,N/A,Clear,2009-02-03,2009-04-24,80,
neenee,B2,New,BeiJing,NA,Clear,2009-02-03,2009-04-24,80,
lvcp,J1,New,Others,biophysics,Clear,2009-02-04,2009-07-31,177,
mayawww,F1,,BeiJing,biology,Clear,2009-02-04,2009-03-09,33,
time fly,J1,New,ShenYang,chemistry,Clear,2009-02-04,2009-03-13,37,
nicej,J1,New,ShangHai,Biology,Clear,2009-02-04,2009-05-27,112,"ared on May 20th, got the visa on May 27th, no email"
idontknow,H1,New,ChengDu,IT,Clear,2009-02-04,2009-04-14,69,
horseinfly,J1,New,BeiJing,microbiology,Clear,2009-02-04,2009-05-22,107,"assy informed me that the visa application is complete, good luck to you all."
flyingrock,L1,New,BeiJing,CS,Clear,2009-02-04,2009-04-27,82,
readinsnow,H1,Renewal,ChengDu,Physics,Clear,2009-02-04,2009-04-28,83,
efm,H1,Renewal,Others,Chemistry,Clear,2009-02-04,2009-04-27,82,
madmatrix,H4,New,ShangHai,Computer Science,Clear,2009-02-05,2009-04-28,82,
trueconan,F1,,BeiJing,Bioengineering,Clear,2009-02-05,2009-05-22,106,ared on 05/22/09.
Steven.Qian,B1,Renewal,ShangHai,N/A,Pending,2009-02-05,,3699,
paradisezl,H1,New,ShangHai,biology,Clear,2009-02-05,2009-04-27,81,
remystar,F1,Renewal,BeiJing,BME,Pending,2009-02-05,,3699,
underthemoon,J1,New,BeiJing,Microbiology,Clear,2009-02-05,2009-05-22,106,
WF,H1,Renewal,BeiJing,Medicine,Clear,2009-02-05,2009-05-15,99,
D_xili,J1,New,BeiJing,Microbiology,Clear,2009-02-06,2009-05-07,90,
dickeed,F1,,ShangHai,N/A,Pending,2009-02-09,,3695,
***,B1,New,ShangHai,thermal energy,Clear,2009-02-09,2009-04-24,74,
waterfeeling,B1,New,ShangHai,computer science,Clear,2009-02-09,2009-04-30,80,
may109,F1,Renewal,ChengDu,CS,Clear,2009-02-09,2009-05-12,92,is a long long vacation. From my advisor.
frada,H1,Renewal,BeiJing,ME,Clear,2009-02-09,2009-04-27,77,
fanfare,F1,Renewal,ChengDu,Materials Science,Clear,2009-02-09,2009-05-07,87,"ared on May 7, received today. No email notifications were sent to me."
wanderingsam,H1,New,ShenYang,physics,Pending,2009-02-09,,3695,
Ida,H1,Renewal,GuangZhou,N/A,Clear,2009-02-09,2009-05-09,89,
wanderingsam,H1,New,ShenYang,physics,Clear,2009-02-09,2009-05-13,93,
cylouisa,H1,,ChengDu,N/A,Clear,2009-02-11,2009-04-28,76,ulate took my OPT card and refused to return to me. 
aibiqian,J1,New,Others,biology,Clear,2009-02-11,2009-03-11,28,
weektree,H1,Renewal,BeiJing,N/A,Clear,2009-02-11,2009-04-28,76,
mindy_nt,J1,New,ShangHai,biochemistry,Clear,2009-02-11,2009-04-15,63,
continue,B2,Renewal,BeiJing,EE,Clear,2009-02-11,2009-04-27,75,
qyp29,J1,New,ShangHai,medicine,Clear,2009-02-12,2009-04-09,56,
X__X,F1,,ChengDu,CompSci,Clear,2009-02-12,2009-03-13,29,
blw,H1,Renewal,BeiJing,medicine,Clear,2009-02-12,2009-04-27,74,
linklisa,H1,New,ShangHai,medicine chemistry,Clear,2009-02-12,2009-04-30,77,
icanfly,H1,Renewal,ShangHai,Aerospace,Clear,2009-02-12,2009-04-28,75,
zyn,H4,New,BeiJing,N/A,Clear,2009-02-12,2009-05-04,81,
mpi,H1,Renewal,ShangHai,BME,Clear,2009-02-12,2009-04-28,75,
linklisa,H4,New,ShangHai,N/A,Clear,2009-02-12,2009-04-30,77,
linklisa,H1,New,ShangHai,N/A,Clear,2009-02-12,2009-04-30,77,
photovoltaic,J1,New,ShenYang,chemistry engineering,Clear,2009-02-13,2009-03-09,24,
jkl200301,J1,New,ShenYang,Chemistry,Clear,2009-02-17,2009-04-10,52,
sundaysun,H1,Renewal,Others,N/A,Clear,2009-02-17,2009-05-01,73,ified on May 5th. Get visa on May 7th.
