,ID,VisaType,VisaEntry,Consulate,Major,Status,CheckDate,CompleteDate,WaitingDays,Comments
24,rrchengdu,H1,Renewal,ChengDu,biology,Clear,2008-12-08,2009-04-09,122," the visa, but the expiration date is in March. Fellow applicants, please check your visa before you book your tickets!"
25,chembiochem,H1,Renewal,ShangHai,immunology &amp; chemistry,Clear,2008-12-08,2009-03-17,99,
26,mengmarmal,H1,New,ShangHai,CS,Clear,2008-12-08,2009-03-20,102,
27,miyayang,H1,New,GuangZhou,Biology &amp; Med.,Clear,2008-12-08,2009-03-18,100,
28,taoxr,H1,Renewal,ShangHai,Mol. Bio. and Biochem.,Clear,2008-12-08,2009-03-17,99,
29,lsn2000,H1,New,BeiJing,ECE,Clear,2008-12-08,2009-03-17,99,
30,foxfox44,H1,Renewal,BeiJing,Chem Eng,Clear,2008-12-09,2009-03-20,101,
31,ido,H1,New,BeiJing,Mechanical Engineeri,Clear,2008-12-09,2009-04-30,142,
32,john8899,J1,New,ShangHai,Marine Science,Clear,2008-12-09,2009-03-20,101,
33,hotwind01,J1,Renewal,BeiJing,ME,Clear,2008-12-09,2009-03-17,98,
34,pplong,J1,Renewal,ShangHai,chemistry,Clear,2008-12-09,2009-03-18,99,
35,sky200,H1,Renewal,ShangHai,Marine,Clear,2008-12-09,2009-03-20,101,
36,likewake,H1,,Others,Physics,Clear,2008-12-09,2009-03-17,98,
37,Ryan,F1,New,ShenYang,Aerospace Engineering,Clear,2008-12-09,2009-03-18,99,
38,Candy2810,J1,New,BeiJing,Biomedical,Clear,2008-12-09,2009-03-20,101,
39,lcdos,H1,,BeiJing,Mechanical,Clear,2008-12-09,2009-03-18,99,
40,woodspear,H1,Renewal,BeiJing,EE,Clear,2008-12-09,2009-03-17,98,
41,sixthirty,H1,New,ShangHai,Chemistry,Clear,2008-12-09,2009-03-24,105,
42,Jerry,J1,Renewal,BeiJing,Biophysics,Clear,2008-12-09,2009-03-17,98,
43,Opaque,H1,Renewal,GuangZhou,Biology,Clear,2008-12-09,2009-03-20,101,
44,star,J1,Renewal,BeiJing,microbiology,Clear,2008-12-09,2009-03-17,98,
45,bham_lion,H1,,ChengDu,Biomedical Engineeri,Clear,2008-12-10,2009-03-20,100,
46,bibibo123,H1,Renewal,ChengDu,Civil Engineering,Clear,2008-12-10,2009-03-20,100,
47,zx,H1,Renewal,ChengDu,CS,Clear,2008-12-10,2009-03-20,100,
48,walberta,J1,New,Vancouver ,Materials,Clear,2008-12-10,2009-03-18,98,
49,dnarnapro,H1,Renewal,ShangHai,Chemistry,Clear,2008-12-10,2009-03-23,103,
50,windyabc,H1,New,ShangHai,Biology,Clear,2008-12-10,2009-03-20,100,
51,irasit,F1,Renewal,BeiJing,EE,Clear,2008-12-10,2009-03-18,98,
52,killuaustc,H1,New,ShangHai,Biology,Clear,2008-12-10,2009-03-19,99,
53,njazma,H1,,ChengDu,chemistry,Clear,2008-12-10,2009-03-19,99,
54,whisky,F1,Renewal,BeiJing,EE,Clear,2008-12-10,2009-03-18,98,
55,checkee,H1,Renewal,ShangHai,Biology,Clear,2008-12-10,2009-03-10,90,
56,jl213,H1,Renewal,ChengDu,Biochemistry,Clear,2008-12-10,2009-03-21,101,
57,deepseablueblue,H1,Renewal,ShangHai,chemistry,Clear,2008-12-10,2009-03-24,104,
58,cdenen,H1,Renewal,ChengDu,physics,Clear,2008-12-10,2009-03-23,103,
59,mememe,J1,Renewal,ShangHai,Physics,Clear,2008-12-10,2009-03-20,100,
60,smz,H1,New,Tijuana ,CSE / Statistics,Clear,2008-12-11,2009-02-23,74,
61,littlegreen,J1,New,BeiJing,Toxicology,Clear,2008-12-11,2009-03-20,99,
62,wcadef,J1,Renewal,BeiJing,Chemical Engineering,Clear,2008-12-11,2009-03-20,99,
63,suixzh,H1,,BeiJing,biology,Clear,2008-12-11,2009-03-19,98,
64,peachnestea,H1,Renewal,ShangHai,Bioinformatics,Clear,2008-12-11,2009-03-23,102,
65,philippic,F1,Renewal,ShangHai,Industrial Engineering,Clear,2008-12-11,2009-03-19,98,
66,super_wt,J1,,BeiJing,bioinformatics,Clear,2008-12-11,2009-03-20,99,
67,unight,F1,,ShangHai,BME,Clear,2008-12-11,2009-03-19,98,
68,liting,J1,Renewal,ShangHai,ME,Clear,2008-12-11,2009-03-20,99,
69,grace,J1,,BeiJing,Mechanical Engineering,Clear,2008-12-11,2009-03-18,97,
70,hzg,H1,Renewal,BeiJing,biology,Clear,2008-12-11,2009-03-18,97,
71,r30962,H1,New,BeiJing,Material Science,Clear,2008-12-11,2009-03-17,96,
72,hensbcb,F1,Renewal,ShangHai,biochemistry,Clear,2008-12-11,2009-03-23,102,
73,baoz,H1,New,Others,Surface Physics,Clear,2008-12-11,2009-04-14,124,"nd LP interviewed together. VO asked about my PHD thesis and postdoc going to do. I was silly then, told her the truth and in scientific lauguage. She also asked what my wife was going to do, LP said did not know yet, of cause a silly answer. Then VO typed something on computer and gave us the note saying that need CV and just wait."
74,lvying,F1,Renewal,BeiJing,Biophysics,Clear,2008-12-12,2009-03-18,96,
75,mustdoit,J1,New,BeiJing,Chemistry,Clear,2008-12-12,2009-03-18,96,
76,justhere,H1,,BeiJing,EE,Clear,2008-12-12,2009-03-19,97,
77,mg,H1,,BeiJing,Chemical Engineerng,Clear,2008-12-12,2009-03-18,96,
78,hsg221,H1,Renewal,BeiJing,physics,Clear,2008-12-12,2009-03-20,98,
79,visa,H1,,ShangHai,materials science,Clear,2008-12-15,2009-03-21,96,
80,zj2000cn,H1,New,ShangHai,Industrial Eng.,Clear,2008-12-15,2009-03-18,93,
81,disan,H1,,ShangHai,Material Science,Clear,2008-12-15,2009-03-23,98,
82,cise,F1,Renewal,ShangHai,EE,Clear,2008-12-15,2009-03-19,94,
83,eyou,F1,Renewal,ShangHai,MSE,Clear,2008-12-15,2009-03-23,98,
84,diangers,H1,Renewal,BeiJing,Chemistry,Clear,2008-12-15,2009-03-18,93,
85,lunazjy,H1,,BeiJing,chemistry,Clear,2008-12-15,2009-03-20,95,
86,Manuel,H1,New,BeiJing,Chemical Engineering,Clear,2008-12-15,2009-03-23,98,
87,lafemme,F1,Renewal,BeiJing,Physical Chemistry,Clear,2008-12-15,2009-03-25,100,
88,truehb,H1,New,GuangZhou,EE,Clear,2008-12-15,2009-03-20,95,
89,wanyua,F1,Renewal,ShangHai,Atmospheric Sciences,Clear,2008-12-15,2009-03-19,94,
90,magicfine,F1,Renewal,ShangHai,EE,Clear,2008-12-15,2009-03-20,95,
91,Willow-w,H1,,BeiJing,Neuroscience,Clear,2008-12-15,2009-03-18,93,
92,willowW,H1,Renewal,BeiJing,Materials Science,Clear,2008-12-15,2009-03-18,93,
93,zhudai,H1,,ShangHai,chemistry,Clear,2008-12-15,2009-03-19,94,
94,aaabbb,H1,,BeiJing,cs,Pending,2008-12-15,,3751,
95,xf,H1,,ShangHai,ME,Clear,2008-12-15,2009-03-20,95,
96,qqspm,H1,Renewal,BeiJing,Neurosience,Clear,2008-12-15,2009-03-27,102,
97,GaryH,H1,Renewal,ShangHai,chemistry,Clear,2008-12-15,2009-03-20,95,
98,YY,H1,Renewal,ShangHai,N/A,Clear,2008-12-15,2009-03-21,96,
99,helloteddy,H1,Renewal,BeiJing,chemistry,Clear,2008-12-15,2009-03-15,90,
100,flyadove,F1,Renewal,ShangHai,Biostatistics,Clear,2008-12-15,2009-03-19,94,
101,banana001,F1,Renewal,ShangHai,EE,Clear,2008-12-15,2009-03-20,95,
102,zenonlpc,F1,Renewal,ShangHai,EE,Clear,2008-12-15,2009-03-19,94,
103,xibull,H1,Renewal,ShangHai,NAME,Clear,2008-12-15,2009-03-20,95,
104,gsut81,H1,New,BeiJing,EE,Clear,2008-12-16,2009-03-23,97,
105,killbill123,F1,Renewal,Others,optics,Clear,2008-12-16,2009-05-07,142,
106,incredibel,J1,,ShangHai,materials science,Pending,2008-12-16,,3750,
107,shenyang0809,H1,Renewal,ShenYang,EE,Clear,2008-12-16,2009-03-27,101,
108,wss6028,H1,New,BeiJing,polymer engineering,Clear,2008-12-16,2009-03-23,97,
109,Dec2008,H1,New,BeiJing,EE,Clear,2008-12-17,2009-03-20,93,
110,luuring,H1,Renewal,ShangHai,CS,Clear,2008-12-17,2009-03-20,93,
111,likexx,H1,Renewal,ChengDu,CS,Clear,2008-12-17,2009-03-20,93,
112,lzhang,H1,,ShangHai,Aerospace Engineerin,Clear,2008-12-17,2009-03-20,93,
113,nauticalboy,H1,New,Others,Biochemistry,Clear,2008-12-17,2009-03-31,104,
114,BLUEWIND,H1,,ShangHai,MECHANICAL ENGINEERI,Clear,2008-12-17,2009-03-24,97,
115,HFL,H1,Renewal,ChengDu,Biology,Clear,2008-12-17,2009-03-19,92,
116,daiyatou,H1,,ShangHai,ae,Clear,2008-12-17,2009-03-23,96,
117,wyw,H1,New,Others,Biochemistry,Clear,2008-12-17,2009-04-11,115,
118,M,H1,,ShangHai,Chem. Eng.,Clear,2008-12-17,2009-03-20,93,
119,zb9,H1,,ShangHai,materials science,Pending,2008-12-17,,3749,
120,abcd,B1,New,BeiJing,Mechanical Engineering,Clear,2008-12-17,2009-03-20,93,
121,llyzs,B1,New,GuangZhou,CS,Clear,2008-12-17,2009-03-24,97,
122,amanos,H1,New,Others,EE,Clear,2008-12-17,2009-04-24,128,
123,wangren,H1,Renewal,ShangHai,Bioinformatics,Clear,2008-12-18,2009-03-19,91,
124,xhzhang1978,F1,Renewal,ShangHai,Chemistry,Clear,2008-12-18,2009-03-19,91,
125,owl,H1,Renewal,BeiJing,Materials Science,Clear,2008-12-18,2009-03-19,91,
126,xidong,H1,New,ShangHai,MSE,Clear,2008-12-18,2009-03-23,95,
127,LY,H4,New,ShangHai,N/A,Clear,2008-12-18,2009-03-23,95,
128,Val,H1,,ShangHai,Materials,Clear,2008-12-19,2009-03-24,95,
129,nuclearspin,H1,Renewal,BeiJing,radiology,Clear,2008-12-19,2009-03-27,98,
130,bejing2009,H1,New,BeiJing,CS,Clear,2008-12-19,2009-03-27,98,
131,linxi107,H1,Renewal,GuangZhou,chem eng,Clear,2008-12-22,2009-03-27,95,
132,doghuang,H1,Renewal,ShangHai,chemistry,Clear,2008-12-22,2009-03-31,99,
133,iciclemelt,F1,Renewal,ShangHai,chemistry,Clear,2008-12-22,2009-03-31,99,
134,umpe,H1,,Others,toxicology,Clear,2008-12-22,2009-03-20,88,
135,aku,H1,Renewal,BeiJing,CS,Clear,2008-12-22,2009-03-22,90,
136,Jack441018,H1,New,BeiJing,EE,Clear,2008-12-22,2009-03-27,95,
137,ppperson,H1,New,ShangHai,EE,Clear,2008-12-22,2009-04-01,100,
138,yufei123456,F1,Renewal,ChengDu,CS,Clear,2008-12-22,2009-03-25,93,
139,balala,H1,New,ShangHai,physics,Clear,2008-12-22,2009-03-31,99,
140,1223bjh1b,H1,Renewal,BeiJing,bme,Clear,2008-12-23,2009-03-23,90,
141,xuzp,H1,Renewal,BeiJing,Civil Engineering,Clear,2008-12-23,2009-03-20,87,
142,jiong,H1,New,ShangHai,EE,Clear,2008-12-23,2009-03-20,87,
143,ykqryk,H1,New,ShangHai,Biology,Clear,2008-12-23,2009-03-20,87,
144,cc,B1,New,GuangZhou,chemistry,Clear,2008-12-23,2009-04-03,101,
145,sunnycat,H4,New,ShangHai,Environmental Sciences,Clear,2008-12-23,2009-03-23,90,
146,sunnycat,H1,New,ShangHai,EE,Clear,2008-12-23,2009-03-23,90,
147,guoan,H1,Renewal,BeiJing,Biomedical Engineering,Clear,2008-12-23,2009-03-20,87,
148,march,B1,New,Others,N/A,Clear,2008-12-23,2009-03-30,97,
149,jessyqi,H1,New,Others,EE,Clear,2008-12-23,2009-03-19,86,
150,China2008,H1,Renewal,BeiJing,BME,Clear,2008-12-23,2009-03-27,94,
151,goodlife,H1,Renewal,ShangHai,EE,Clear,2008-12-23,2009-03-24,91,
152,ykqryk,H4,New,ShangHai,N/A,Clear,2008-12-23,2009-03-23,90,
153,boston,H1,New,ShangHai,EE,Clear,2008-12-23,2009-03-23,90,
154,hkld,H1,New,BeiJing,CS,Clear,2008-12-24,2009-03-20,86,
155,Aquafina,H1,,ShangHai,Chemistry,Clear,2008-12-24,2009-03-23,89,
156,snoopylh,H1,,BeiJing,ME,Clear,2008-12-29,2009-03-27,88,
157,chenxuyu,H1,Renewal,ShenYang,Biotechnology,Clear,2008-12-29,2009-04-08,100,
158,irenezqff,H1,Renewal,GuangZhou,Biochem,Clear,2008-12-29,2009-03-27,88,
159,JQ,H1,Renewal,ShangHai,Chem,Clear,2008-12-29,2009-03-27,88,
160,Jimmy,H1,Renewal,GuangZhou,EE,Clear,2008-12-29,2009-04-08,100,
161,mankei,H1,Renewal,Others,EE,Clear,2008-12-29,2009-03-27,88,
162,frogjovi,H1,New,ShangHai,Neurobiology,Clear,2008-12-29,2009-03-27,88,
163,bluecold,H1,New,ShangHai,Information Systems,Clear,2008-12-29,2009-03-27,88,
164,bg3721,H1,Renewal,BeiJing,CS,Clear,2008-12-29,2009-03-29,90,
165,wu,H1,,ShangHai,CS,Clear,2008-12-30,2009-03-27,87,
166,deng7,F1,,ChengDu,Biology,Clear,2008-12-30,2009-01-29,30,
167,kaizersoze,H1,,Kolkata,Comp Engg,Pending,2008-12-30,,3736,
168,xqsimple,H4,,Others,chemistry,Clear,2008-12-30,2009-03-27,87,
169,zealing2009,H1,Renewal,ShangHai,Electrical Engineering,Clear,2008-12-30,2009-03-27,87,
170,ordin,H1,Renewal,BeiJing,EE,Clear,2008-12-30,2009-03-27,87,
171,minsmarf,H1,New,BeiJing,Information Technology,Clear,2008-12-30,2009-03-27,87,
172,ling,H1,Renewal,BeiJing,Materials Sciences,Clear,2008-12-30,2009-03-27,87,
173,stochaos,H1,Renewal,BeiJing,Physics,Clear,2008-12-30,2009-03-27,87,
174,julin,H1,Renewal,ChengDu,Biostatistics,Clear,2008-12-31,2009-04-08,98,
175,lpdeng,H1,,ChengDu,Materials Science,Clear,2008-12-31,2009-04-07,97,"ʻʢٻpending
7ݾ֪ͨǩ֤"
176,rainbonnie,H1,New,ChengDu,Industrial Engineering,Clear,2008-12-31,2009-04-07,97,
177,libertango,H1,Renewal,ChengDu,EE,Clear,2008-12-31,2009-04-07,97,
178,chengdu,H1,New,ChengDu,EE,Clear,2008-12-31,2009-04-07,97,
179,King.east,H4,New,ChengDu,communication engineering,Clear,2008-12-31,2009-04-08,98,
180,Barry,H1,New,ChengDu,Biochemistry,Clear,2008-12-31,2009-04-07,97,
